Date, Open, High, Low, Close
05/04/22, 6482.26, 6494.99, 6395.68, 6395.68
05/03/22, 6463.73, 6507.13, 6423.03, 6476.18
05/02/22, 6469.31, 6474.81, 6308.47, 6425.61
04/29/22, 6557.66, 6601.15, 6514.10, 6533.77
04/28/22, 6520.53, 6575.95, 6435.75, 6508.14
04/27/22, 6427.40, 6474.96, 6338.61, 6445.26
04/26/22, 6520.01, 6535.92, 6412.49, 6414.57
04/25/22, 6450.90, 6512.26, 6408.71, 6449.38
04/22/22, 6618.69, 6654.64, 6572.87, 6581.42
04/21/22, 6642.71, 6757.75, 6636.79, 6715.10
04/20/22, 6557.96, 6636.55, 6542.21, 6624.91
04/19/22, 6545.97, 6566.80, 6494.33, 6534.79
04/14/22, 6557.66, 6607.55, 6541.90, 6589.35
04/13/22, 6519.16, 6563.96, 6478.45, 6542.14
04/12/22, 6454.25, 6570.75, 6424.97, 6537.41
04/11/22, 6558.53, 6614.96, 6502.14, 6555.81
04/08/22, 6540.20, 6581.56, 6494.63, 6548.22
04/07/22, 6530.82, 6582.34, 6451.10, 6461.68
04/06/22, 6634.83, 6643.75, 6442.44, 6498.83
04/05/22, 6731.34, 6743.62, 6603.44, 6645.51
04/04/22, 6709.60, 6745.22, 6641.61, 6731.37
04/01/22, 6672.98, 6708.56, 6635.27, 6684.31
03/31/22, 6759.42, 6776.13, 6658.74, 6659.87
03/30/22, 6771.09, 6771.09, 6705.69, 6741.59
03/29/22, 6675.15, 6829.40, 6658.78, 6792.16
03/28/22, 6578.72, 6683.70, 6572.01, 6589.11
03/25/22, 6569.45, 6615.90, 6538.80, 6553.68
03/24/22, 6593.15, 6636.58, 6541.32, 6555.77
03/23/22, 6674.68, 6684.70, 6559.31, 6581.43
03/22/22, 6586.65, 6666.84, 6578.91, 6659.41
03/21/22, 6608.79, 6642.46, 6574.07, 6582.33
03/18/22, 6613.95, 6620.24, 6499.59, 6620.24
03/17/22, 6617.23, 6635.31, 6530.79, 6612.52
03/16/22, 6484.33, 6680.00, 6481.70, 6588.64
03/15/22, 6294.72, 6383.75, 6206.05, 6355.00
03/14/22, 6298.96, 6421.08, 6271.82, 6369.94
03/11/22, 6233.12, 6466.12, 6165.41, 6260.25
03/10/22, 6376.57, 6380.77, 6166.11, 6207.20
03/09/22, 6131.28, 6387.83, 6122.80, 6387.83
03/08/22, 5906.62, 6169.60, 5903.10, 5962.96
03/07/22, 5887.83, 6115.23, 5756.38, 5982.27
03/04/22, 6308.34, 6321.09, 6061.66, 6061.66
03/03/22, 6488.25, 6543.77, 6361.60, 6378.37
03/02/22, 6359.98, 6544.15, 6312.30, 6498.02
03/01/22, 6646.16, 6662.25, 6396.49, 6396.49
02/28/22, 6620.48, 6684.54, 6516.16, 6658.83
02/25/22, 6571.95, 6762.78, 6521.56, 6752.43
02/24/22, 6496.25, 6617.09, 6432.89, 6521.05
02/23/22, 6801.66, 6904.81, 6768.38, 6780.67
02/22/22, 6633.74, 6834.77, 6633.74, 6787.60
02/21/22, 6984.31, 6986.83, 6744.13, 6788.34
02/18/22, 6951.83, 6995.62, 6895.09, 6929.63
02/17/22, 6999.13, 7017.07, 6905.69, 6946.82
02/16/22, 7009.69, 7031.93, 6931.09, 6964.98
